Date,close,high,low,open,volume,sma_10,sma_20,rsi,macd,macd_signal,bb_upper,bb_lower,log_return,target
2023-12-21,68570.1640625,68570.1640625,67777.02886402897,68209.6419679637,2323368,68642.26171875,67730.156640625,61.34457760239211,667.0558657002985,695.7216343085413,70361.5815943664,65098.731686883606,0.004215100979411139,70084.328125
2023-12-22,68209.6328125,68570.1548586451,68065.42846387764,68498.04895947085,1686716,68671.10234375,67852.730859375,54.464173424116304,612.1529285287688,679.0078931525868,70320.69312890795,65384.76858984206,-0.005271715460857734,69868.015625
2023-12-25,69219.0859375,69363.29775206825,68353.85229872537,68425.95075628252,2667482,68743.20546875,68043.80390625,55.26315539355691,642.6878802772262,671.7438905775147,70293.51418524244,65794.09362725756,0.0146908344803456,69651.703125
2023-12-26,70084.328125,71093.77359417207,69507.50320686268,69579.6091152775,4443467,68772.046875,68263.718359375,58.87094589694232,728.3093659174629,683.0569856455044,70400.02699601592,66127.40972273407,0.012422571554752897,69291.1953125
2023-12-27,69868.015625,70516.94643089126,69868.015625,70228.53025614175,1793177,68894.621875,68451.187109375,60.83325583222199,769.8362066222908,700.4128298408617,70448.42941302827,66453.94480572172,-0.0030912332935022564,69291.1953125
2023-12-28,69651.703125,69940.11929050977,69435.39286329932,69940.11929050977,1582503,68923.4625,68620.630078125,59.83601679975203,776.3427204893378,715.598807970557,70399.20511654971,66842.0550397003,-0.003100818655022418,69146.984375
2023-12-29,69291.1953125,69940.12616135231,69291.1953125,69651.70996750884,2468578,68916.25234375,68754.021484375,54.621863277124234,743.8347480719094,721.2459959908275,70284.79678699424,67223.24618175576,-0.005189306190677062,69435.40625
2024-01-01,69291.1953125,69291.1953125,69291.1953125,69291.1953125,0,69067.66953125,68844.150390625,46.534692765358514,709.8887896471861,718.9745547220992,70269.88308654362,67418.41769470638,0.0,70084.328125
2024-01-02,69146.984375,69868.01361655661,69002.77256690737,69868.01361655661,2267426,69161.4046875,68883.807421875,54.02293553987442,663.6990461275564,707.9194530031907,70296.1771653766,67471.43767837339,-0.002083399102595125,70228.53125
2024-01-03,69435.40625,69579.6180854213,68786.48278951629,68930.68717520956,1900300,69276.77109375,68930.675,50.617331842284095,642.9549915623065,694.9265607150139,70351.33230422514,67510.01769577486,0.0041624666761098175,70156.421875
2024-01-04,70084.328125,70949.56922706951,69363.29883976011,69435.39729844786,3932982,69428.1875,69035.224609375,55.5555154255665,671.1412523267063,690.1694990373525,70473.09347716463,67597.35574158537,0.009302290565686998,69651.703125
2024-01-05,70228.53125,70300.63715713951,69579.60788465217,70156.43279258744,1505798,69630.07734375,69150.58984375,74.28554180874825,697.079554893382,691.5515102085584,70582.3553367965,67718.8243507035,0.0020554520293069806,68281.7421875
2024-01-08,70156.421875,70877.45103528237,70012.21008316289,70228.52032119276,1908367,69723.8109375,69233.508203125,70.76903843108492,703.7053454525303,693.9822772573527,70697.86801562013,67769.14839062988,-0.0010273092626615012,68498.0546875
2024-01-09,69651.703125,70156.42955221045,69651.703125,70156.42955221045,1602473,69680.5484375,69226.29765625,63.38017851937877,660.6145933783264,687.3087404815476,70680.38139302933,67772.21391947067,-0.007220194715170269,68281.7421875
2024-01-10,68281.7421875,69868.01245227215,68137.53783153703,69723.80809630918,4367556,69521.92109375,69208.271484375,47.67435707482273,510.04102801103727,651.8551979874455,70701.2586314984,67715.2843372516,-0.01986473960512729,68786.46875
2024-01-11,68498.0546875,68786.47085858915,68281.74442161483,68281.74442161483,1813015,69406.55625,69165.009375,52.38101994695946,403.51355055220483,602.1868685003974,70688.90626864455,67641.11248135543,0.0031629332003294103,69002.765625
2024-01-12,68281.7421875,68930.6729639231,67849.1216698846,68353.84809034473,3434532,69305.6109375,69110.931640625,41.095892444199045,298.197708662221,541.3890365327621,70681.25498925424,67540.60829199576,-0.0031629332003294775,69002.765625
2024-01-15,68786.46875,69146.98336551512,68425.94668475837,68498.052587752,1735384,69255.13828125,69161.40390625,36.76472462825931,252.55012004570744,483.6212532353512,70611.49387242598,67711.313940074,0.0073646375088854635,68930.6796875
2024-01-16,69002.765625,69002.765625,68281.73645598133,68281.73645598133,1071225,69240.71640625,69201.060546875,41.176348739455634,231.16272731145727,433.12954805057245,70583.35149263644,67818.76960111356,0.0031395348648993664,69435.40625
2024-01-17,69002.765625,69219.07586565078,68498.0466966321,68930.66717793366,1870015,69197.45234375,69237.11171875,43.07682305992018,211.77188995771576,388.85801643200114,70554.53664874137,67919.68678875864,0.0,69507.5
2024-01-18,68930.6796875,69219.08842755765,68642.26349771512,69002.7781476508,1503550,69082.0875,69255.1375,45.90163060854737,188.41583844170964,348.7695808339429,70543.68813067228,67966.58686932772,-0.001045227919878535,68930.6796875
2024-01-19,69435.40625,69868.02685680783,69002.78564319217,69219.09594659608,1974757,69002.775,69316.426171875,51.47063744353355,208.23283624609758,320.66223191637386,70508.59480192134,68124.25754182867,0.007295556534058608,68498.0546875
2024-01-22,69507.5,69795.90872089883,69074.87946892502,69795.90872089883,1465330,68937.8828125,69330.846875,53.7313577659399,227.13701872820093,301.9571892787393,70525.03355305507,68136.66019694494,0.0010377464876142404,68498.0546875
2024-01-23,68930.6796875,69507.50461734254,68786.47531747118,69291.19433743568,1957829,68865.78046875,69273.164453125,45.070345155958854,193.3453758725518,280.2348265975018,70424.79882517313,68121.53008107688,-0.008333303021672784,69146.984375
2024-01-24,68498.0546875,69074.87957995155,68425.94878229602,69074.87957995155,2277477,68887.41171875,69204.66640625,33.823414592173464,130.1556798930833,250.21899725661814,70370.21130129766,68039.12151120235,-0.006296011253576734,69146.984375
2024-01-25,68498.0546875,68498.0546875,68498.0546875,68498.0546875,0,68887.41171875,69146.983984375,31.81809973322389,79.16482771665324,216.00816334862517,70333.377355152,67960.59061359799,0.0,68930.6796875
2024-01-26,69146.984375,69363.2946374123,68714.36385017537,68858.56820854137,1223841,68973.9359375,69139.7734375,40.5405603272822,90.07903737653396,190.82233815420693,70324.2277508246,67955.3191241754,0.009429101111525551,69002.765625
2024-01-29,69146.984375,69291.188733366,68714.36385017537,69146.984375,1402775,69009.9875,69132.562890625,44.77613147161658,97.60351460434322,172.1785734442342,70314.88982647246,67950.23595477756,0.0,72031.1015625
2024-01-30,68930.6796875,69146.98996740686,68786.47531747118,69146.98996740686,1255052,69002.77890625,69121.74765625,58.823716872819666,85.13139474458876,154.7691377043051,70307.47151981184,67936.02379268815,-0.003133089857948939,72031.1015625
2024-01-31,69002.765625,69219.07586565078,68858.56128114145,68930.66717793366,1827033,69002.77890625,69100.115625,57.14279396318205,80.14007767789008,139.8433256990221,70277.50222678088,67922.72902321913,0.0010452279198785081,74626.828125
2024-02-01,72031.1015625,72031.1015625,69002.76564235338,69146.97743597408,10307168,69312.82109375,69197.454296875,79.54563364049626,316.8928803729068,175.25323663379905,70915.29530585115,67479.61328789886,0.0429514065756162,75059.453125
2024-02-02,72031.1015625,72031.1015625,72031.1015625,72031.1015625,0,69572.390625,69287.5828125,77.77794127286275,498.77165307840914,239.95691992272106,71381.23831041262,67193.92731458737,0.0,75636.2734375
2024-02-05,74626.828125,75059.44867089613,73473.1783024283,73545.28420998665,3563344,70084.3234375,69511.103125,84.2107314142983,842.6517659892561,360.4958891360281,72675.86140037015,66346.34484962984,0.03540207700877286,75636.2734375
2024-02-06,75059.453125,75708.38398235242,74194.21198186345,74698.93846526892,2491986,70697.20078125,69781.490625,85.00020767456853,1136.982033757129,515.7931180602484,73804.49767868804,65758.48357131197,0.005780438942191916,75636.2734375
2024-02-07,75636.2734375,75708.37934492042,74915.24416220367,75492.06907238613,2810841,71411.02265625,70149.2171875,86.61420278677392,1400.6397666663543,692.7624477814695,74877.665519659,65420.768855341004,0.007655467646737449,75636.2734375
2024-02-08,75636.2734375,75636.2734375,75636.2734375,75636.2734375,0,72124.84453125,70506.128125,85.83335665907903,1591.247508784203,872.4594599820164,75758.40186992282,65253.854380077195,0.0,75636.2734375
2024-02-09,75636.2734375,75636.2734375,75636.2734375,75636.2734375,0,72773.7734375,70873.8546875,85.71432473651863,1722.4501841325691,1042.457604812127,76487.77243422426,65259.93694077575,0.0,75636.2734375
2024-02-12,75636.2734375,75636.2734375,75636.2734375,75636.2734375,0,73422.70234375,71216.344921875,91.89187870079516,1805.6152410678042,1195.0891320632627,77122.25285249595,65310.43699125405,0.0,74987.3359375
