Date,close,high,low,open,volume,sma_10,sma_20,rsi,macd,macd_signal,bb_upper,bb_lower,log_return,target
2023-12-21,56909.45703125,57329.1432925424,56909.45703125,56993.394283508474,2585900,57329.1421875,57324.9443359375,46.250009452999976,-130.62779582644725,-29.694579781809423,58516.33006729089,56133.55860458411,-0.00441489453663659,57077.328125
2023-12-22,56741.578125,57161.264353735205,56657.64087925296,56909.45261649408,2145700,57211.629296875,57295.5662109375,42.30765559145995,-152.22840081687173,-54.20134398882189,58515.15948712648,56075.97293474851,-0.0029542894725186576,57077.328125
2023-12-25,56993.390625,57664.88859996318,56741.57888438881,56741.57888438881,2672700,57035.3609375,57287.17265625,48.64867244448944,-147.32954830719245,-72.82698485249601,58512.95276958746,56061.39254291254,0.00442806489901871,57922.921875
2023-12-26,57077.328125,57497.01436121324,57077.328125,57329.13986672794,1975400,56917.8484375,57266.18828125,46.47885015973645,-135.11657784169074,-85.28490345033495,58491.211931770005,56041.16463072999,0.0014716750463100515,57161.88671875
2023-12-27,57077.328125,57669.24115740741,57077.328125,57500.12314814815,1626400,56901.060546875,57249.40078125,47.14283814779112,-124.00822117678763,-93.02956699562549,58475.1507441518,56023.6508183482,0.0,57161.88671875
2023-12-28,57922.921875,57922.921875,57077.33177463504,57077.33177463504,2408700,56952.044921875,57316.8615234375,50.04997823072666,-46.43712155412504,-83.71107790732539,58534.51662109882,56099.20642577619,0.014706211331632559,57753.8046875
2023-12-29,57161.88671875,58092.03576299002,57161.88671875,58092.03576299002,1954700,56952.107421875,57304.301953125,37.01636507088137,-45.842202729487326,-76.13730287175778,58522.95983436207,56085.64407188794,-0.013225833349197946,58345.71875
2024-01-01,57161.88671875,57161.88671875,57161.88671875,57161.88671875,0,57044.5,57274.9548828125,40.32430566578384,-44.853679972518876,-69.88057829191,58476.69108036497,56073.21868526002,0.0,58345.71875
2024-01-02,57753.8046875,57922.92271001098,57415.568642478036,57669.24567624451,2142800,57196.084375,57304.58203125,54.87137352971328,3.650484138750471,-55.1743658057779,58523.60861546135,56085.55544703865,0.010301869073661547,58176.59765625
2024-01-03,58345.71875,58345.71875,57500.1286231884,57838.36467391304,1889800,57314.530078125,57347.0171875,58.26177346665338,88.82893697078543,-26.373705250465235,58650.41701234862,56043.617362651385,0.01019675488056222,57669.24609375
