Date,close,high,low,open,volume,sma_10,sma_20,rsi,macd,macd_signal,bb_upper,bb_lower,log_return,target
2024-01-08,85462.515625,85462.515625,84970.22002808179,84970.22002808179,1607800,82292.128125,81607.836328125,74.56143037315655,223.40921193956456,-454.72191960730925,85493.12838550723,77722.54427074279,0.006936572528205675,87923.984375
2024-01-09,86447.1015625,86545.56067589692,85462.51042853075,85462.51042853075,1926400,82784.4234375,81785.0625,77.2357980569497,503.12313622550573,-263.1529084407463,86205.53038738367,77364.59461261633,0.011454818170689114,87333.234375
2024-01-10,88120.90625,88120.90625,85856.3466480447,86447.10132681564,1795400,83453.9453125,82070.594140625,81.15941862323783,850.0615062646248,-40.510025499672054,87320.93765987638,76820.25062137363,0.01917712191339676,88613.203125
2024-01-11,87923.984375,88613.19813829787,87234.77061170213,88120.9025930851,1489100,84093.92890625,82311.81875,79.99997732924957,1096.4831394147768,186.88860748321773,88169.4052546934,76454.23224530662,-0.002237178897191557,88613.203125
2024-01-12,87333.234375,88120.90728931793,86053.26588923337,86742.47968926156,1909500,84920.98515625,82631.8109375,75.18248513389773,1229.9276310348214,395.4964121935385,88859.85310966602,76403.768765334,-0.006741545273857895,89499.3359375
2024-01-15,88613.203125,88711.66223958333,87530.15286458333,87628.61197916666,1914200,85876.03828125,83050.262109375,75.7142849046156,1422.5676585885813,600.9106614725471,89712.32534307544,76388.19887567457,0.014549783996604827,89696.25
2024-01-16,88613.203125,88711.66223958333,87530.15286458333,87628.61197916666,1367200,86516.02265625,83483.482421875,76.25900225141913,1557.284857856197,792.185500749277,90417.65850660496,76549.30633714504,0.0,91173.140625
2024-01-17,89499.3359375,89597.79505294279,87628.6127440869,87628.6127440869,1578200,87146.1609375,83965.932421875,77.5510281193087,1715.7743425204826,976.9032691035181,91173.07610708104,76758.78873666895,0.009950339582283174,90582.390625
2024-01-18,89696.25,89794.70911086717,88613.19978046103,89499.33177826564,1422900,87658.1484375,84468.073828125,93.54839122516705,1836.1022760321648,1148.7430704892474,91808.29816089463,77127.84949535536,0.002197756610241239,90090.0859375
2024-01-19,91173.140625,91566.97708558314,89007.04009179266,89597.79478266738,1472600,88288.2875,85044.059765625,94.24461006608121,2027.2666923044744,1324.4477948522929,92598.30700988145,77489.81252136856,0.01633138084191847,89696.25
2024-01-22,90582.390625,92059.27742866847,90582.390625,92059.27742866847,1046300,88800.275,85546.2015625,87.61066545327895,2106.8112726625113,1480.9204904143367,93174.48976539621,77917.9133596038,-0.006500512817367542,89696.25
2024-01-23,90090.0859375,90976.21793032787,89007.03572404372,90680.84059938525,1256900,89164.5734375,85974.4984375,82.40737815544645,2105.8511110038526,1605.90661453224,93613.8345744878,78335.16230051221,-0.005449705625240876,90582.390625
2024-01-24,89696.25,90582.38199780461,89499.33177826564,90188.5455543359,744700,89322.1078125,86388.0265625,76.53059902580578,2049.683432513397,1694.6619781284714,93884.6512410224,78891.40188397761,-0.0043811623993099645,89794.7109375
2024-01-25,89696.25,89696.25,89696.25,89696.25,0,89499.334375,86796.631640625,75.7894666506301,1982.319200846934,1752.1934226721642,94064.36758230843,79528.89569894156,0.0,89597.796875
2024-01-26,90582.390625,90582.390625,89991.6359035326,90188.55414402173,953100,89824.25,87372.617578125,76.53059902580578,1977.6397050872038,1797.2826791551722,93841.61365395415,80903.62150229586,0.009830868024550854,87136.3125
2024-01-29,89794.7109375,90582.38384046053,89499.3335988898,90385.4656147204,730500,89942.40078125,87909.21953125,67.70829545041278,1888.6013819981163,1815.5464197237611,93137.28305760029,82681.1560048997,-0.008733754867856781,88416.28125
2024-01-30,89597.796875,89794.71510989011,88711.6648179945,89794.71510989011,888600,90040.86015625,88278.44140625,59.25926651554722,1781.6112448827334,1808.7593847555556,92809.31918307686,83747.56362942314,-0.002195344097558405,88416.28125
2024-01-31,87136.3125,89203.95381355932,87136.3125,89203.95381355932,945600,89804.5578125,88475.359375,46.15385789164486,1481.1260734119132,1743.2327224868272,92374.87668169652,84575.84206830348,-0.027857028397226914,88613.203125
2024-02-01,88416.28125,88810.11769209354,86644.01726057906,86644.01726057906,598100,89676.5609375,88667.3546875,54.95492919487315,1330.9300578901893,1660.7721895675,92109.9297453598,85224.77962964021,0.014582426888592352,88120.90625
